Transaction details ,,,,,,,,
,,,,,,,,
Credit card Number,,,,Amount Debited,,,,Total amount credited
,,,,,,,,
45656565,,,,100,,,,3560
88565615,,,,1200,,,,
67565615,,,,125,,,,
88565615,,,,334,,,,
65565615,,,,567,,,,
23565615,,,,333,,,,
12565615,,,,134,,,,
99565615,,,,533,,,,
22565615,,,,334,,,,
,,,,,,,,
,,,,,,,,
23565615,,,,435,,,,6187
34565615,,,,456,,,,
65565615,,,,12,,,,
43565615,,,,60,,,,
66565615,,,,234,,,,
45565615,,,,223,,,,
12565615,,,,655,,,,
22565615,,,,1678,,,,
45565615,,,,1200,,,,
65565615,,,,1234,,,,
,,,,,,,,
99565615,,,,134,,,,2766
87565615,,,,533,,,,
67565615,,,,334,,,,
54565615,,,,12,,,,
44565615,,,,435,,,,
43565615,,,,456,,,,
33565615,,,,60,,,,
99565615,,,,234,,,,
23565615,,,,223,,,,
66565615,,,,345,,,,
,,,,,,,,
66565615,,,,655,,,,5161
23565615,,,,1234,,,,
12565615,,,,134,,,,
33565615,,,,533,,,,
23565615,,,,1234,,,,
32565615,,,,134,,,,
56565615,,,,334,,,,
45565615,,,,12,,,,
88565615,,,,435,,,,
56565615,,,,456,,,,
,,,,,,,,
41565615,,,,12,,,,2542
21565615,,,,60,,,,
66565615,,,,234,,,,
33565615,,,,223,,,,
22565615,,,,345,,,,
12565615,,,,655,,,,
66565615,,,,134,,,,
23565615,,,,533,,,,
34565615,,,,334,,,,
43565615,,,,12,,,,
,,,,,,,,
26565615,,,,435,,,,6865
46565615,,,,122,,,,
66565615,,,,234,,,,
86565615,,,,1239,,,,
66565615,,,,1234,,,,
46565615,,,,344,,,,
26565615,,,,223,,,,
16565615,,,,1245,,,,
66565615,,,,324,,,,
12456345,,,,1465,,,,
,,,,,,,,
